UID        PID  PPID  C STIME TTY          TIME CMD
root     10076     1  0 00:28 ?        00:00:00 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
wwwrun   12541 15914  0 00:42 ?        00:00:00 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
root     12869     2  0 01:00 ?        00:00:06 [kworker/2:2]
root     13089     2  0 01:12 ?        00:00:05 [kworker/4:2]
root     13473     2  0 01:30 ?        00:00:02 [kworker/0:0]
root     13908     2  0 01:45 ?        00:00:00 [kworker/3:2]
jeisoncg 13940  1571  1 01:46 ?        00:00:40 /usr/bin/geany /home/jeisoncg/Travis/src/main.cpp
root     14225     2  0 02:00 ?        00:00:02 [kworker/2:0]
root     14227     2  0 02:00 ?        00:00:00 [kworker/5:0]
root     14228     2  0 02:00 ?        00:00:01 [kworker/0:1]
root     14349     2  0 02:05 ?        00:00:00 [kworker/u16:4]
jeisoncg 14437     1  0 02:07 ?        00:00:01 kdeinit4: konsole [kdeinit]
jeisoncg 14439 14437  0 02:07 pts/1    00:00:00 /bin/bash
root     14507     2  0 02:12 ?        00:00:00 [kworker/1:1]
root     14567     2  0 02:15 ?        00:00:00 [kworker/5:2]
root     14568     2  0 02:15 ?        00:00:00 [kworker/3:1]
root     14572     2  0 02:15 ?        00:00:00 [kworker/u16:2]
root     14578     2  0 02:18 ?        00:00:00 [kworker/1:0]
root     14616     2  0 02:20 ?        00:00:00 [kworker/4:1]
root     14618     2  0 02:20 ?        00:00:00 [kworker/u16:5]
root     14619     2  0 02:20 ?        00:00:00 [kworker/u16:6]
jeisoncg 14671  1571  0 02:22 ?        00:00:00 kdeinit4: kwrite [kdeinit] /home/jeisoncg/Travis/src/in.txt
root     14692     2  0 02:23 ?        00:00:00 [kworker/1:2]
jeisoncg 14741 13940 25 02:25 ?        00:00:00 /usr/bin/xterm -e /bin/sh ./geany_run_script.sh
jeisoncg 14743 14741  0 02:25 pts/2    00:00:00 /bin/sh ./geany_run_script.sh
jeisoncg 14745 14743  0 02:25 pts/2    00:00:00 ./main
jeisoncg 14746 14745  0 02:25 pts/2    00:00:00 sh -c ps -ef > prcs.txt
jeisoncg 14747 14746  0 02:25 pts/2    00:00:00 ps -ef
root     15914     1  0 Sep25 ?        00:00:03 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   15931 15914  0 Sep25 ?        00:00:08 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   15932 15914  0 Sep25 ?        00:00:08 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   15933 15914  0 Sep25 ?        00:00:17 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   15934 15914  0 Sep25 ?        00:00:08 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   16586 15914  0 Sep25 ?        00:00:09 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   16590 15914  0 Sep25 ?        00:00:03 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   16591 15914  0 Sep25 ?        00:00:09 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   16592 15914  0 Sep25 ?        00:00:06 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
wwwrun   16593 15914  0 Sep25 ?        00:00:07 /usr/sbin/httpd2-prefork -f /etc/apache2/httpd.conf -D SYSTEMD -DFOREGROUND -k start
